"","SYMBOL","GR.response.to.iNKT","VIP","DysiNKTD1_KKU213C","DysiNKTD2_KKU213C","DysiNKTD2_SSP25","iNKTD2_D131"
"1","ABLIM1","0.0061",1.0098,129.599418,73.807816,119.89589,61.530172
"2","ACOT7"," -0.0056",1.197,6.301236,8.018356,10.165318,12.870004
"3","ACRBP"," -0.0051",1.1615,8.97497,7.074548,17.093113,22.695365
"4","AGRN"," -0.0050",1.1516,8.164943,3.615919,24.76126,35.937184
"5","AK1","0.0045",1.0277,179.579732,146.378655,120.825184,100.220572
"6","ALYREF","0.0065",1.1277,52.011271,64.86344,64.024029,45.57071
"7","ANKZF1"," -0.0067",1.3248,180.0147,116.524174,191.452034,317.229729
"8","ASF1B"," -0.0078",1.2708,12.484674,12.765079,10.210084,15.899631
"9","BAIAP3"," -0.0073",1.4055,11.317486,14.998341,29.359588,89.286593
"10","BICDL1","0.0054",1.1161,121.713156,101.287026,96.113923,79.262806
"11","BNIP3"," -0.0076",1.4311,8.557429,5.141189,9.89674,44.933044
"12","C2orf92"," -0.0074",1.334,22.408581,11.099442,14.203438,39.371094
"13","C3"," -0.0041",1.0207,1.662671,0.764864,21.18832,26.309544
"14","CCND1"," -0.0069",1.3705,0.639462,0.299807,10.090503,31.905709
"15","CCNE2"," -0.0068",1.2019,8.559563,4.438204,4.950651,11.525592
"16","CD70","0.007",1.3447,67.097094,59.754803,59.548907,43.781942
"17","CD74","0.0042",1.021,1204.951195,1595.154625,853.070226,626.021117
"18","CDC45"," -0.0068",1.0858,5.928382,3.834085,2.427791,7.289772
"19","CDC6"," -0.0078",1.4331,3.393275,3.84547,3.778654,7.646864
"20","CDCA5"," -0.0063",0.9007,13.016994,13.298298,9.363437,14.554114
"21","CENPF","0.0061",1.1109,20.532787,38.003325,31.587966,12.53886
"22","CENPH"," -0.0078",1.3581,7.355556,5.643064,5.121692,11.361424
"23","CENPM"," -0.0078",1.2701,17.277937,22.868634,9.602791,35.86717
"24","CHAC2"," -0.0054",0.9332,0.486059,2.287552,1.198534,2.556483
"25","CHEK1"," -0.0041",0.8096,8.288198,9.556027,9.258746,9.767166
"26","CKB"," -0.0058",1.2467,7.157539,1.615421,23.902866,43.29072
"27","CKS1B"," -0.0074",1.2122,40.657479,47.067072,37.474556,53.567183
"28","CLHC1"," -0.0079",1.4396,20.462292,12.710961,12.150303,238.939526
"29","CLIC3","0.0068",1.3197,290.385126,217.636251,202.815874,61.171184
"30","COL6A1"," -0.0074",1.4187,0.693908,1.299937,5.645981,28.393605
"31","COL6A2"," -0.0078",1.438,2.979214,0.544885,2.5361,42.653511
"32","COL7A1"," -0.0076",1.4334,1.160394,0.841915,5.095166,44.452717
"33","CORO1A","0.0035",0.8896,694.392697,1037.10522,601.093045,493.091683
"34","CSF1","0.0035",0.9389,50.286284,48.894813,30.674704,28.394498
"35","CSF2"," -0.0079",1.434,4.218736,9.356203,4.896675,50.860334
"36","CST3"," -0.0077",1.4347,2.817629,3.959898,10.379556,85.883891
"37","CTTN"," -0.0071",1.3941,2.52347,2.457328,10.252312,33.613182
"38","CXCL8"," -0.0078",1.4397,0,0.367398,3.558299,134.833959
"39","DOCK5"," -0.0061",1.1155,22.410852,5.484352,11.946886,30.37357
"40","DUSP2"," -0.0078",1.4336,89.142421,76.978201,80.325271,188.989818
"41","DUSP5"," -0.0064",1.32,8.816717,8.617008,21.586695,40.738141
"42","E2F1"," -0.0066",1.086,12.17885,8.080657,6.88452,14.184428
"43","EBP","0.0032",0.8893,76.885034,87.306658,67.388342,64.976448
"44","EFEMP2"," -0.0043",1.055,15.255362,10.818338,28.870631,34.408998
"45","EPHA4","0.007",1.1856,23.087041,15.568094,22.301339,10.84611
"46","ERRFI1"," -0.0075",1.4234,1.303552,0.746613,3.120506,15.290445
"47","EVA1A"," -0.0079",1.4402,0.43553,0.706339,0.25049,14.683272
"48","FAAH2"," -0.0071",1.3925,4.36538,3.265331,6.482331,14.919829
"49","FADS2","0.0035",0.931,36.661594,51.563121,18.035965,13.094507
"50","FAM13A"," -0.0077",1.4267,5.698203,2.983852,4.992661,21.668465
"51","FAM229A","0.0068",1.1173,33.614784,25.841309,33.791937,22.328122
"52","FBLN5"," -0.0067",1.3375,10.038527,4.669838,12.601115,25.648641
"53","FBXL16"," -0.0068",1.224,24.873705,15.403829,18.166407,32.315711
"54","FEN1"," -0.0065",1.0199,11.328485,16.060933,9.742516,17.462101
"55","FKBP10"," -0.0076",1.4307,1.347735,2.018967,4.457839,26.732749
"56","FN1"," -0.0077",1.4373,0.685358,0.800962,3.800148,50.703914
"57","FSCN1"," -0.0074",1.4149,7.039845,4.639915,7.821084,21.054223
"58","GDF15"," -0.0077",1.4368,0.731041,0.806905,2.256527,23.243822
"59","GGA2","0.0047",0.9187,410.854877,240.455348,278.332492,189.241916
"60","GGH"," -0.0072",1.3669,6.607522,4.754354,6.182813,10.657467
"61","GINS4"," -0.0080",1.4233,2.753772,3.969567,2.647994,10.368368
"62","GOLGA8A"," -0.0044",1.0519,811.51008,611.323976,956.948115,1088.641846
"63","H2BC19P"," -0.0075",1.3315,10.466373,20.898425,14.186542,35.686406
"64","H4C16"," -0.0079",1.4011,17.99817,13.365653,12.349048,34.874171
"65","HILPDA"," -0.0071",1.3922,6.012984,2.941771,11.252557,32.879826
"66","HOPX","0.0037",0.9365,152.41749,182.94701,133.632612,122.771887
"67","HSBP1L1"," -0.0054",1.2007,11.399683,8.065565,16.656849,22.557421
"68","IDUA"," -0.0061",1.2837,30.532896,38.679248,61.914095,95.854817
"69","IFI30"," -0.0079",1.4255,13.179649,12.385605,12.237878,18.20422
"70","IFNG"," -0.0080",1.3841,11.836763,9.81864,8.133108,20.146658
"71","IGFBP4"," -0.0074",1.4219,18.161021,11.062953,36.163282,157.03878
"72","IGLV3-9"," -0.0071",1.3131,4.15664,9.026601,7.491407,15.86457
"73","IL13"," -0.0081",1.4184,1.939335,1.991856,1.002237,6.437634
"74","IL6ST"," -0.0078",1.4403,18.499811,22.374216,19.845441,253.125687
"75","ISYNA1"," -0.0042",1.0417,16.237807,8.928164,34.856859,42.239075
"76","IZUMO4"," -0.0066",1.3388,13.583935,7.901719,26.830497,56.038676
"77","JSRP1"," -0.0078",1.3653,25.496153,19.262209,16.36805,42.609128
"78","JUN","0.008",1.3733,158.829029,143.297782,180.450823,69.940647
"79","KIAA0319L"," -0.0080",1.436,124.690811,131.492688,118.863883,240.293989
"80","LAMA5"," -0.0048",1.1245,4.144879,1.398743,22.371706,32.114933
"81","LIF"," -0.0076",1.3918,4.534749,6.624388,5.64953,11.919093
"82","LMNB1","0.0043",0.9768,53.977269,80.331375,51.855908,38.642399
"83","LYRM9"," -0.0076",1.3709,12.725956,16.048202,13.932453,22.565656
"84","MCM2"," -0.0079",1.3799,7.496824,9.136033,7.154546,13.437501
"85","MDK"," -0.0074",1.4159,2.853909,2.281029,20.880914,103.686741
"86","MMP14"," -0.0076",1.4324,2.593808,1.441531,8.999882,71.510779
"87","MRNIP"," -0.0057",1.1492,76.345658,48.2925,69.876167,96.478675
"88","MST1"," -0.0054",1.1792,21.25143,16.85656,23.326544,28.065054
"89","MYBL2"," -0.0077",1.2524,7.283728,8.766243,4.91001,12.288248
"90","NCDN"," -0.0077",1.2528,100.627082,139.531159,55.556798,213.319469
"91","NKG7","0.0037",0.9296,616.528121,513.495482,334.239368,294.714902
"92","NLGN2"," -0.0041",1.0224,5.639452,1.944414,13.458337,16.400116
"93","NME1"," -0.0076",1.4111,8.912528,16.15017,14.65126,43.625401
"94","NOL3"," -0.0053",1.1573,20.919478,30.030722,42.472452,54.857086
"95","NT5E"," -0.0080",1.4297,2.639173,3.497366,1.57994,14.198116
"96","P4HA1"," -0.0073",1.3753,27.434585,10.107393,21.921979,66.673542
"97","PAN2"," -0.0072",1.4044,102.177702,98.280655,115.327991,170.429747
"98","PASK"," -0.0073",1.1695,134.416554,184.714831,93.552478,235.820564
"99","PCLAF"," -0.0071",1.0805,30.106381,35.518921,18.522589,43.166829
"100","PCNA"," -0.0067",1.0117,110.101857,120.352731,98.778076,125.996441
"101","PDE9A"," -0.0048",1.1041,18.250958,13.655903,22.091361,26.056093
"102","PFKFB4"," -0.0076",1.4229,6.292339,1.031871,6.24232,36.947802
"103","PFN2"," -0.0064",1.3149,8.71562,3.550481,18.169554,37.106083
"104","PGGHG"," -0.0075",1.4232,161.510304,148.24346,183.633372,358.404997
"105","PHLDA2"," -0.0077",1.437,4.473393,5.439388,7.947777,52.666391
"106","PIK3IP1","0.0079",1.3119,336.744912,295.594673,374.784245,200.255035
"107","PKMYT1"," -0.0078",1.2666,15.937754,17.25646,13.694663,20.779817
"108","PLCH2"," -0.0032",0.89,67.594281,54.439771,85.280321,88.074457
"109","PLK2"," -0.0068",1.3603,2.556514,0.694909,6.761124,17.949618
"110","PLXDC1"," -0.0040",0.8375,23.139795,1.935366,16.040471,26.161165
"111","PODXL"," -0.0071",1.3902,0.262838,0.307943,4.039734,14.739353
"112","POU6F1"," -0.0045",1.0862,7.050792,4.293672,16.463855,20.954944
"113","PPFIA4"," -0.0078",1.4389,3.915061,1.207542,2.82392,57.338427
"114","PSAT1"," -0.0063",1.0015,5.924379,9.206375,5.491526,9.922822
"115","RAB13"," -0.0072",1.407,1.253683,0.408105,21.91381,100.409632
"116","RAI14"," -0.0076",1.4337,0.84413,0.640791,3.373133,29.18213
"117","RECQL4"," -0.0068",1.0426,12.993904,10.592538,6.003223,15.704942
"118","RGS2"," -0.0062",0.8785,88.635533,102.669215,35.31912,116.569081
"119","RHPN1"," -0.0037",0.9627,21.834074,8.721419,34.506186,39.948799
"120","S100A11","0.0045",0.9646,548.954645,913.785328,611.79604,407.843394
"121","S1PR1","0.0044",1.0361,64.417368,104.601088,41.610801,17.633135
"122","SELENOM"," -0.0064",1.3119,26.059411,17.802533,34.359074,55.768479
"123","SH3D21"," -0.0061",1.2627,18.190153,10.603427,20.575531,31.854319
"124","SIRT3"," -0.0070",1.3862,36.02702,34.034884,43.068276,65.419914
"125","SKIL","0.0069",1.0727,80.326147,51.406347,96.515761,36.760245
"126","SLC25A29"," -0.0029",0.8353,19.208706,36.703808,85.603845,85.879145
"127","SLC43A3"," -0.0071",1.3835,5.594637,4.148581,6.5095,12.187288
"128","SLC4A11"," -0.0077",1.4276,3.831669,0.971017,3.379957,22.153773
"129","SMCO4"," -0.0063",1.1438,10.097904,32.073419,21.471395,44.391864
"130","SNX8"," -0.0078",1.3033,6.976209,6.380268,5.654965,8.567555
"131","SPIRE2"," -0.0062",1.1219,24.413525,14.413642,17.712309,29.18886
"132","SPOCK2","0.008",1.3228,722.802763,703.758425,872.94773,432.699646
"133","TCF7"," -0.0062",1.2986,32.950797,33.393817,45.342575,61.06257
"134","TFAP2E"," -0.0069",1.3635,12.248769,8.380359,14.049503,25.516224
"135","TGFBI"," -0.0066",1.3455,2.077777,1.124238,14.678272,38.320427
"136","TIMELESS"," -0.0071",1.0901,6.297107,7.283696,5.093789,8.175901
"137","TK1"," -0.0066",1.3235,13.083033,8.648685,14.491249,23.661544
"138","TMEM132A"," -0.0077",1.4381,1.314137,1.291679,3.656509,47.638991
"139","TMEM198B"," -0.0028",0.8402,52.77488,42.584244,69.908181,70.431169
"140","TNFRSF8"," -0.0080",1.4162,0.369498,0.29578,0.237812,0.860634
"141","TNFRSF9"," -0.0078",1.4404,1.954802,2.056569,1.852913,36.967565
"142","TPBG"," -0.0075",1.4267,1.258424,0.347204,3.861249,24.244548
"143","TPM2"," -0.0074",1.4174,36.346224,32.882289,44.017184,90.70743
"144","TRBV10-3"," -0.0052",1.1442,0.732602,6.156584,13.562492,20.489386
"145","TRBV23-1"," -0.0061",1.2425,8.738987,15.474362,19.563952,29.8348
"146","TRBV7-7"," -0.0069",1.3691,0,4.0722,16.00687,48.555125
"147","TRGV2","0.0038",0.9704,102.450842,134.578482,68.597143,54.439674
"148","TSC22D1"," -0.0044",0.901,21.496193,5.576127,16.227525,24.960461
"149","TXNDC17"," -0.0078",1.438,23.974804,25.860733,26.012158,58.75603
"150","UNKL"," -0.0051",1.1351,94.806236,74.661989,104.129352,122.170853
"151","UPK3BL2"," -0.0067",1.3417,33.302586,28.714368,36.501639,49.213479
"152","VEGFA"," -0.0076",1.4286,8.99333,1.632325,14.794519,96.230445
"153","WDR76","0.0057",1.2195,13.311838,14.883057,12.405437,10.313242
"154","WLS"," -0.0076",1.4337,0.332021,0.121922,1.669893,15.924672
"155","WNT11"," -0.0077",1.4227,4.176367,1.634866,3.074532,16.392222
"156","YPEL2","0.0078",1.4024,55.544992,47.618905,54.221504,23.969797
"157","ZBTB25"," -0.0059",1.1941,64.487428,40.762429,61.531915,86.768337
"158","ZNF320"," -0.0068",1.3623,4.335517,4.882853,8.725919,17.420635
"159","ZNF395"," -0.0071",1.3122,31.647632,22.642666,26.270928,43.257707
