"","SYMBOL","KKU213c","KKU213c_V1","KKU213c_V2"
"1","ADGRL1",0.813167,16.118505,15.4021
"2","ASMTL",5.7861,28.73569,32.827859
"3","DUS3L",37.113727,8.323689,7.718006
"4","EEF1A2",5.147239,46.641021,44.353674
"5","FSTL1",44.090042,8.868586,9.734552
"6","FYN",10.614334,47.560702,43.844065
"7","HMGN5",4.934916,20.71524,21.774688
"8","IFI6",2.280522,19.125956,19.063493
"9","IGKV1OR-2",26.100016,1.621385,2.809381
"10","IL24",14.740201,63.203461,68.297138
"11","LRFN4",62.53955,15.454847,13.99963
"12","NRGN",4.961127,21.094138,22.84613
"13","PCSK9",11.106391,2.01166,2.302222
"14","SCNN1A",42.912642,169.733675,196.596155
"15","SERPINH1",195.365647,43.2825,42.157198
"16","TERT",23.87129,4.182849,4.524898
"17","TUBA1A",2.954993,19.940713,22.378114
"18","TYMS",163.604439,34.338773,31.09006
"19","UNG",63.382621,13.280819,12.991474
